6707,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二林,員林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlin Station,Yuanlin Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林客運 04-8320106,台中區監理所 04-06912011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
週一~四、六、日行駛,06:10~18:45,週五行駛,06:10~06:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlin Station,Health Center,National Erlin Industrial and Commercial Vocational High School,Jingualiao,Litoucuo,Turencuo,Daqiaotou,Wainiuchou,Minjing Elementary School,Minjing,Daicuo,Zhutang Junior High School,Xizhutang,Zhutang,Dongzhutang,Xidawan,Dawan,Zhuwei,Lukoucuo,Zhuangnei Village,Zhonghe Village,Douliujia,Kengcuo,Xiqiancuo,Cheng Shin Tire,Guoguang,Services Station,Xizhou,Irrigation Association,Jiumei Village,Daqiaozu,Mingdao University,Zhuozonghe,Beidou,Beidou Police District,Beidou Junior High School,Dadao Village,Fruits and Vegetables Market,Beishiliao,Raoping Village,Tianwei Elementary School,Tianwei Disability Center,Xipan,Wufu Village,Nangangxi,Yongjing,Yongxing Road Intersection,Wubiantou,Taiping,Zhongyang Village,Gouzao,Sanyi Village,YuanSheng Hospital,Juguang Station,Yuanlin Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6881,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺,員林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiluo Station,Yuanlin Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林客運 04-8320106,台中區監理所 04-06912011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:10~20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺站,西螺水利會,西農西側門,水尾,溪墘厝,國光,服務站前,溪州,水利前,舊眉村,大橋組,卓綜合,北斗,復興路口,北斗分局,北斗國中,大道里,菓菜市場,北勢寮,饒平村,田尾國小,田尾身障中心,溪畔,五福村,湳港西,永靖,永興路口,五汴頭,太平,中央里,溝皂,三義里,員林站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiluo Station,Xiluo Irrigation Association,Xinong West Side Door,Shuiwei,Xiqiancuo,Guoguang,Services Station,Xizhou,Irrigation Association,Jiumei Village,Daqiaozu,Zhuozonghe,Beidou,Fuxing Road Intersection,Beidou Police District,Beidou Junior High School,Dadao Village,Fruits and Vegetables Market,Beishiliao,Raoping Village,Tianwei Elementary School,Tianwei Disability Center,Xipan,Wufu Village,Nangangxi,Yongjing,Yongxing Road Intersection,Wubiantou,Taiping,Zhongyang Village,Gouzao,Sanyi Village,Yuanlin Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6881A,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺,員林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiluo Station,Yuanlin Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
經明道大學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林客運 04-8320106,台中區監理所 04-06912011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00~17:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺站,西螺水利會,西農西側門,水尾,溪墘厝,國光,服務站前,溪州,水利前,舊眉村,大橋組,明道大學,卓綜合,北斗,復興路口,北斗分局,北斗國中,大道里,菓菜市場,北勢寮,饒平村,田尾國小,田尾身障中心,溪畔,五福村,湳港西,永靖,永興路口,五汴頭,太平,中央里,溝皂,三義里,員林站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiluo Station,Xiluo Irrigation Association,Xinong West Side Door,Shuiwei,Xiqiancuo,Guoguang,Services Station,Xizhou,Irrigation Association,Jiumei Village,Daqiaozu,Mingdao University,Zhuozonghe,Beidou,Fuxing Road Intersection,Beidou Police District,Beidou Junior High School,Dadao Village,Fruits and Vegetables Market,Beishiliao,Raoping Village,Tianwei Elementary School,Tianwei Disability Center,Xipan,Wufu Village,Nangangxi,Yongjing,Yongxing Road Intersection,Wubiantou,Taiping,Zhongyang Village,Gouzao,Sanyi Village,Yuanlin Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
