Jianguo JHS.,Shuilin JHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7136,M,埔心(東向),,,,A[繞駛建國國中、延駛水林國中],,,,,,,,,,,,,,,,,,,,,,,
北港,西螺,經二崙,埔心、崙背、褒忠、元長,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,NSLAIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0805,1010,1210,1405,1550,1820,,,,,,,,,,,,,,,,,,,,,,,,
0720,1010,1330,1600,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,蔥仔寮,山仔內,元長鄉溪底,褒忠,三塊厝,龍岩,王厝寮,崙前,崙背,水汴頭,打牛湳,二崙,二崙電信局,下茄塘,埔心,文昌國小,西螺站,西螺農工
Beigang,Beigang Power Company,Wulu Caishen Temple,Xinjie,Caohu,Dingcaohu,Gouzao,Xizhuang,Dingxizhuang,Bai hua mu,Yuanzhang1,Yuanchang,Congziliao,Shanzinei,Yuanchang Township Xidi,Baozhong,Sankuaicuo,Longyan,Wangcuoliao,Lunqian,Lunbei,Shuibiantou,Daniunan,Erlun,CHT Erlun,Xiajiatang,Puxin,Wenchang ES.,Xiluo Station,Siluo Agricultural Industrial High
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1
466011200153683 ,埔心,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水林國中,建國國中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuilin JHS.,Jianguo JHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7136,F,文昌國小站(西向),,,,A[繞駛建國國中、延駛水林國中],,,,,,,,,,,,,,,,,,,,,,,
西螺,北港,經二崙,埔心、崙背、褒忠、元長,,,,,,,,,,,,,,,,,,,,,,,,,,
NSLAIH,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0745,0920,1200,1320,1515,1930,,,,,,,,,,,,,,,,,,,,,,,,
0840,1120,1450,1720,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺農工,西螺站,文昌國小,埔心,下茄塘,二崙電信局,二崙,打牛湳,水汴頭,崙背,崙前,王厝寮,龍岩,三塊厝,褒忠,元長鄉溪底,山仔內,蔥仔寮,元長,元長1,白花墓,頂西庄,西庄,溝皂,頂草湖,草湖,新街,五路財神廟,北港電力公司,北港
Siluo Agricultural Industrial High,Xiluo Station,Wenchang ES.,Puxin,Xiajiatang,CHT Erlun,Erlun,Daniunan,Shuibiantou,Lunbei,Lunqian,Wangcuoliao,Longyan,Sankuaicuo,Baozhong,Yuanchang Township Xidi,Shanzinei,Congziliao,Yuanchang,Yuanzhang1,Bai hua mu,Dingxizhuang,Xizhuang,Gouzao,Dingcaohu,Caohu,Xinjie,Wulu Caishen Temple,Beigang Power Company,Beigang
-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153688 ,文昌國小站,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建國國中,水林國中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianguo JHS.,Shuilin JHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7136,M,文昌國小站(東向),,,,A[繞駛建國國中、延駛水林國中],,,,,,,,,,,,,,,,,,,,,,,
北港,西螺,經二崙,埔心、崙背、褒忠、元長,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,NSLAIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0805,1010,1210,1405,1550,1820,,,,,,,,,,,,,,,,,,,,,,,,
0720,1010,1330,1600,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,蔥仔寮,山仔內,元長鄉溪底,褒忠,三塊厝,龍岩,王厝寮,崙前,崙背,水汴頭,打牛湳,二崙,二崙電信局,下茄塘,埔心,文昌國小,西螺站,西螺農工
Beigang,Beigang Power Company,Wulu Caishen Temple,Xinjie,Caohu,Dingcaohu,Gouzao,Xizhuang,Dingxizhuang,Bai hua mu,Yuanzhang1,Yuanchang,Congziliao,Shanzinei,Yuanchang Township Xidi,Baozhong,Sankuaicuo,Longyan,Wangcuoliao,Lunqian,Lunbei,Shuibiantou,Daniunan,Erlun,CHT Erlun,Xiajiatang,Puxin,Wenchang ES.,Xiluo Station,Siluo Agricultural Industrial High
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1
466011200153689 ,文昌國小站,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水林國中,建國國中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuilin JHS.,Jianguo JHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
